,Symbol,Year,Month,Day,Open,High,Low,Close,Volume,Date,Good_Time_Prices_Low,Good_Time_Prices_will_increase,Good_Time_Interest_rates_low,Good_Time_Rising_interest_rates,Good_Time_Times_good,Good_Time_Fuel_Efficiency,Bad_Time_Prices_High,Bad_Time_Interest_rates_high,Bad_Time_Cannot_Afford,Bad_Time_Uncertain_Future,Bad_Time_Gas_Prices,Bad_Time_Poor_Selection,Relative_prices,Relative_rates
0,TM,2005,2,25,71.64,72.22399999999998,71.556,72.104,249469,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
1,TM,2005,2,28,72.475,72.643,71.964,72.271,166169,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
2,TTM,2005,2,25,10.27,10.318,10.156,10.175,167534,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
3,TTM,2005,2,28,10.318,10.414000000000001,10.127,10.347000000000001,386313,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
4,HMC,2005,2,25,25.346,25.576,25.346,25.566,115828,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
5,HMC,2005,2,28,25.787,25.796,25.489,25.660999999999998,240756,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
6,F,2005,2,1,10.456,10.463,10.252,10.307,11735716,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
7,F,2005,2,2,10.385,10.542,10.307,10.456,8975891,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
8,F,2005,2,3,10.377,10.443,10.292,10.332,11375064,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
9,F,2005,2,4,10.411,10.449000000000002,10.362,10.419,9119034,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
10,F,2005,2,7,10.472999999999999,10.67,10.433,10.575,11377347,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
11,F,2005,2,8,10.433,10.592,10.362,10.369000000000002,12247373,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
12,F,2005,2,9,10.323,10.395,10.275,10.339,10660618,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
13,F,2005,2,10,10.332,10.411,10.292,10.323,9200501,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
14,F,2005,2,11,10.315,10.395,10.275,10.292,10680921,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
15,F,2005,2,14,10.339,10.402000000000001,10.275,10.323,7952569,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
16,F,2005,2,15,10.292,10.385,10.292,10.369000000000002,7087491,2005-02-28,34.0,6.0,29.0,2.0,5.0,2.0,12.0,4.0,6.0,0.0,3.0,3.0,22.0,25.0
